name, street, city, state, zipcode, county, lat, long
1 LT Charles W. Whitcomb School,25 Union Street,Marlborough,MA,01752,Middlesex County,42.357383,-71.548459
A Drewicz Elementary,34 Hood Street,Lynn,MA,01905,Essex County,42.460538,-70.969308
A E Angier,1697 Beacon Street,Waban,MA,02468,Middlesex County,42.326592,-71.232568
A F Maloney,200 Lincoln Street,Blackstone,MA,01504,Worcester County,42.028912,-71.545504
A. C. Whelan Elementary School,107 Newhall Street,Revere,MA,02151,Suffolk County,42.41991,-71.020683
A. Irvin Studley Elementary School,299 Rathbun Willard Drive,Attleboro,MA,02703,Bristol County,41.936746,-71.305702
Abbot Elementary,25 Depot Street,Westford,MA,01886,Middlesex County,42.588439,-71.432399
Abbott Memorial,56 North County Rd,Florida,MA,01247,Berkshire County,42.693107,-73.03766
Abby Kelley Foster Charter Public School,10 New Bond Street,Worcester,MA,01606,Worcester County,42.305635,-71.801599
Abington Early Education Program,201 Gliniewicz Way,Abington,MA,02351,Plymouth County,42.119333,-70.95364
Abington High,201 Gliniewicz Way,Abington,MA,02351,Plymouth County,42.119058,-70.954519
Abington Middle School,201 Gliniewicz Way,Abington,MA,02351,Plymouth County,42.119058,-70.954519
Abner Gibbs,50 West Silver Street,Westfield,MA,01085,Hampden County,42.11464,-72.75374
Aborn,409 Eastern Avenue,Lynn,MA,01902,Essex County,42.479234,-70.933085
Abraham Lincoln,300 Chelmsford Street,Lowell,MA,01851,Middlesex County,42.630319,-71.320249
Abraham Lincoln,445 Ashley Blvd,New Bedford,MA,02745,Bristol County,41.669337,-70.932885
Abraham Lincoln,68 Tuckerman Street,Revere,MA,02151,Suffolk County,42.416897,-71.00958
ABUNDANT LIFE CHRISTIAN SCHOOL,173 CHURCH ST,WILMINGTON,MA,18872,Middlesex County,42.556921,-71.164625
Academy Avenue,94 Academy Avenue,Weymouth,MA,02189,Norfolk County,42.219775,-70.941901
ACADEMY HILL SCHOOL,1190 LIBERTY ST,SPRINGFIELD,MA,01104,Hampden County,42.135243,-72.586194
ACADEMY OF EARLY LEARNING,465 FALMOUTH RD,HYANNIS,MA,02601,Barnstable County,41.661969,-70.305036
ACADEMY OF NOTRE DAME,180 MIDDLESEX RD,TYNGSBORO,MA,01879,Middlesex County,42.670549,-71.426617
Academy Of the Pacific Rim Charter Public School,1 Westinghouse Plaza,Hyde Park,MA,02136,Suffolk County,42.244384,-71.132363
ACERA SCHOOL,5 LOWELL AVE,WINCHESTER,MA,01890,Middlesex County,42.46612,-71.133211
Acton-Boxborough Regional High,36 Charter Rd,Acton,MA,01720,Middlesex County,42.4801,-71.45815
Acushnet Elementary School,800 Middle Road,Acushnet,MA,02743,Bristol County,41.725455,-70.905989
Adams Elementary School,165 Webster Street,East Boston,MA,02128,Suffolk County,42.365512,-71.034894
ADAMS MONTESSORI SCHOOL,310 ADAMS ST,QUINCY,MA,02169,Norfolk County,42.252599,-71.016241
Adams School,78 Tileston Street,Everett,MA,02149,Middlesex County,42.403786,-71.063694
Advanced Community Experience Program,1025 Massachusetts Avenue,Lunenburg,MA,01462,Worcester County,42.597237,-71.721805
Advanced Math and Science Academy Charter School,201 Forest Street,Marlborough,MA,01752,Middlesex County,42.333658,-71.577779
Agawam Early Childhood Center,108 Perry Lane,Agawam,MA,01001,Hampden County,42.067224,-72.626447
Agawam High,760 Cooper Street,Agawam,MA,01001,Hampden County,42.074264,-72.644584
Agawam Junior High,1305 Springfield Street,Feeding Hills,MA,01030,Hampden County,42.063976,-72.673853
AHAVATH TORAH CONGREGATION,1179 CENTRAL ST,STOUGHTON,MA,02072,Norfolk County,42.13477,-71.108161
AL NOOR ACADEMY - SHARON,84 86 CHASE DR,SHARON,MA,02067,Norfolk County,42.096564,-71.194867
AL-HAMRA ACADEMY,435 S ST,SHREWSBURY,MA,01545,Worcester County,42.271133,-71.682617
AL-NOOR ACADEMY,84 CHASE DR,SHARON,MA,02067,Norfolk County,42.096564,-71.194867
Albert D Holland School of Technology,60 Washington Street,Dorchester,MA,02121,Suffolk County,42.306942,-71.081648
Albert F Ford Middle School,708 Middle Road,Acushnet,MA,02743,Bristol County,41.723346,-70.905145
Albert F. Argenziano School at Lincoln Park,290 Washington Street,Somerville,MA,02143,Middlesex County,42.379231,-71.098828
Albert S. Woodward Memorial School,28 Cordaville Road,Southborough,MA,01772,Worcester County,42.304,-71.52671
Alcott,93 Laurel Street,Concord,MA,01742,Middlesex County,42.453398,-71.346358
Alden School,75 Alden Street,Duxbury,MA,02332,Plymouth County,42.045889,-70.681687
Alexander B Bruce,135 Butler Street,Lawrence,MA,01841,Essex County,42.703054,-71.180942
Alfred G. Zanetti Montessori Magnet School,474 Armory St,Springfield,MA,01104,Hampden County,42.121139,-72.588307
Alfred J Gomes,286 S Second Street,New Bedford,MA,02740,Bristol County,41.626103,-70.9222
Alfred M Chaffee,9 Clover Street,Oxford,MA,01540,Worcester County,42.107759,-71.869773
Algonquin Regional High,79 Bartlett Street,Northborough,MA,01532,Worcester County,42.325949,-71.61312
ALHUDA ACADEMY,248 E MOUNTAIN ST,WORCHESTER,MA,01606,Worcester County,42.315475,-71.773878
Alice A Macomber,154 Gifford Road,Westport,MA,02790,Bristol County,41.65273,-71.082498
Alice B Beal Elementary,285 Tiffany Street,Springfield,MA,01108,Hampden County,42.07372,-72.54456
Alice M Barrows,16 Edgemont Avenue,Reading,MA,01867,Middlesex County,42.52167,-71.12402
Alighieri Dante Montessori School,37 Gove Street,East Boston,MA,02128,Suffolk County,42.371486,-71.037907
ALL SAINTS ACADEMY,48 NEGUS ST,WEBSTER,MA,01570,Worcester County,42.049082,-71.878189
ALL SAINTS CATHOLIC SCHOOL,115 ILLINOIS ST,NEW BEDFORD,MA,02745,Bristol County,41.683297,-70.931706
Allendale,180 Connecticut Avenue,Pittsfield,MA,01201,Berkshire County,42.459027,-73.220859
Alma del Mar Charter School,515 Belleville Ave,New Bedford,MA,02746,Bristol County,41.665531,-70.923108
Ambrose Elementary,27 High Street,Winchester,MA,01890,Middlesex County,42.445654,-71.15632
AMEGO,122 GROVE ST,FRANKLIN,MA,02038,Norfolk County,42.076215,-71.419109
Amelio Della Chiesa Early Childhood Center,100 Brooks Avenue,Quincy,MA,02169,Norfolk County,42.237718,-71.013129
Amesbury High,5 Highland Street,Amesbury,MA,01913,Essex County,42.850888,-70.942553
Amesbury Innovation High School,71 Friend Street,Amesbury,MA,01913,Essex County,42.856314,-70.934884
Amesbury Middle,220 Main Street,Amesbury,MA,01913,Essex County,42.848845,-70.929489
AMHERST MONTESSORI SCHOOL,27 POMEROY LN,AMHERST,MA,01002,Hampshire County,42.33899,-72.518301
Amherst Regional High,21 Mattoon Street,Amherst,MA,01002,Hampshire County,42.380755,-72.512846
Amherst Regional Middle School,170 Chestnut Street,Amherst,MA,01002,Hampshire County,42.384218,-72.510419
